=== Worker started ===
[02:01:28] Step 1 OK: Logging works.
[02:01:28] Step 2: Importing requests...
[02:01:28] Step 2 OK: requests imported.
[02:01:28] Step 3: Importing glob...
[02:01:28] Step 3 OK: glob imported.
[02:01:28] Step 4: Checking paths...
[02:01:28]   STOP_FILE exists:      False
[02:02:41] Loop alive (iteration 1000). Flag exists: False
[02:02:43] Loop alive (iteration 680). Flag exists: False
[02:02:43] Loop alive (iteration 4940). Flag exists: False
[02:02:43] Loop alive (iteration 1340). Flag exists: False
[02:02:44] Loop alive (iteration 1020). Flag exists: False
[02:02:45] Loop alive (iteration 700). Flag exists: False
[02:02:45] Loop alive (iteration 4960). Flag exists: False
[02:02:45] Loop alive (iteration 1360). Flag exists: False
[02:02:46] Loop alive (iteration 1040). Flag exists: False
[02:02:47] Loop alive (iteration 720). Flag exists: False
[02:02:47] Loop alive (iteration 4980). Flag exists: False
[02:02:48] Loop alive (iteration 1380). Flag exists: False
[02:02:48] Loop alive (iteration 1060). Flag exists: False
[02:02:49] Loop alive (iteration 740). Flag exists: False
[02:02:50] Loop alive (iteration 5000). Flag exists: False
[02:02:50] Loop alive (iteration 1400). Flag exists: False
[02:02:50] Loop alive (iteration 1080). Flag exists: False
[02:02:51] Loop alive (iteration 760). Flag exists: False
[02:02:52] Loop alive (iteration 5020). Flag exists: False
[02:02:52] Loop alive (iteration 1420). Flag exists: False
[02:02:52] Loop alive (iteration 1100). Flag exists: False
[02:02:54] Loop alive (iteration 780). Flag exists: False
[02:02:54] Loop alive (iteration 5040). Flag exists: False
[02:02:54] Loop alive (iteration 1440). Flag exists: False
[02:02:55] Loop alive (iteration 1120). Flag exists: False
[02:02:56] Loop alive (iteration 800). Flag exists: False
[02:02:56] Loop alive (iteration 5060). Flag exists: False
[02:02:56] Loop alive (iteration 1460). Flag exists: False
[02:02:57] Loop alive (iteration 1140). Flag exists: False
[02:02:58] Loop alive (iteration 820). Flag exists: False
[02:02:58] Loop alive (iteration 5080). Flag exists: False
[02:02:58] Loop alive (iteration 1480). Flag exists: False
[02:02:59] Loop alive (iteration 1160). Flag exists: False
[02:03:00] Loop alive (iteration 840). Flag exists: False
[02:03:00] Loop alive (iteration 5100). Flag exists: False
[02:03:01] Loop alive (iteration 1500). Flag exists: False
[02:03:01] Loop alive (iteration 1180). Flag exists: False
[02:03:02] Loop alive (iteration 860). Flag exists: False
