=== Image Save Worker started ===
[17:19:47] Step 1 OK: Logging works.
[17:19:47] Step 2: Importing requests...
[17:19:47] Step 2 OK: requests imported.
[17:19:47] Step 3: Importing glob...
[17:19:47] Step 3 OK: glob imported.
[17:19:47] Step 4: Checking paths...
[17:19:47]   STOP_FILE exists:      False
[17:19:47]   NEW_IMAGE_FLAG exists: False
[17:19:47]   IMAGES_FOLDER exists:  True
[17:19:47] Step 4 OK: Folders ready.
[17:21:36] Loop alive (iteration 980). Flag exists: False
[17:21:37] Loop alive (iteration 1500). Flag exists: False
[17:21:37] Loop alive (iteration 1840). Flag exists: False
[17:21:37] Loop alive (iteration 1140). Flag exists: False
[17:21:38] Loop alive (iteration 1000). Flag exists: False
[17:21:39] Loop alive (iteration 1520). Flag exists: False
[17:21:39] Loop alive (iteration 1860). Flag exists: False
[17:21:40] Loop alive (iteration 1160). Flag exists: False
[17:21:40] Loop alive (iteration 1020). Flag exists: False
[17:21:41] Loop alive (iteration 1540). Flag exists: False
[17:21:41] Loop alive (iteration 1880). Flag exists: False
[17:21:42] Loop alive (iteration 1180). Flag exists: False
[17:21:43] Loop alive (iteration 1040). Flag exists: False
[17:21:43] Loop alive (iteration 1560). Flag exists: False
[17:21:44] Loop alive (iteration 1900). Flag exists: False
[17:21:44] Loop alive (iteration 1200). Flag exists: False
[17:21:45] Loop alive (iteration 1060). Flag exists: False
[17:21:45] Loop alive (iteration 1580). Flag exists: False
[17:21:46] Loop alive (iteration 1920). Flag exists: False
[17:21:46] Loop alive (iteration 1220). Flag exists: False
[17:21:47] Loop alive (iteration 1080). Flag exists: False
[17:21:48] Loop alive (iteration 1600). Flag exists: False
[17:21:48] Loop alive (iteration 1940). Flag exists: False
[17:21:48] Loop alive (iteration 1240). Flag exists: False
[17:21:49] Loop alive (iteration 1100). Flag exists: False
[17:21:50] Loop alive (iteration 1620). Flag exists: False
[17:21:50] Loop alive (iteration 1960). Flag exists: False
[17:21:51] Loop alive (iteration 1260). Flag exists: False
[17:21:52] Loop alive (iteration 1120). Flag exists: False
[17:21:52] Loop alive (iteration 1640). Flag exists: False
[17:21:53] Loop alive (iteration 1980). Flag exists: False
[17:21:53] Loop alive (iteration 1280). Flag exists: False
[17:21:54] Loop alive (iteration 1140). Flag exists: False
[17:21:54] Loop alive (iteration 1660). Flag exists: False
[17:21:55] Loop alive (iteration 2000). Flag exists: False
[17:21:55] Loop alive (iteration 1300). Flag exists: False
[17:21:56] Loop alive (iteration 1160). Flag exists: False
[17:21:57] Loop alive (iteration 1680). Flag exists: False
[17:21:57] Loop alive (iteration 2020). Flag exists: False
[17:21:57] Loop alive (iteration 1320). Flag exists: False
[17:21:58] Loop alive (iteration 1180). Flag exists: False
[17:21:59] Loop alive (iteration 1700). Flag exists: False
[17:21:59] Loop alive (iteration 2040). Flag exists: False
[17:22:00] Loop alive (iteration 1340). Flag exists: False
[17:22:00] Loop alive (iteration 1200). Flag exists: False
[17:22:01] Loop alive (iteration 1720). Flag exists: False
[17:22:02] Loop alive (iteration 2060). Flag exists: False
[17:22:02] Loop alive (iteration 1360). Flag exists: False
[17:22:03] Loop alive (iteration 1220). Flag exists: False
[17:22:03] Loop alive (iteration 1740). Flag exists: False
[17:22:04] Loop alive (iteration 2080). Flag exists: False
[17:22:04] Loop alive (iteration 1380). Flag exists: False
[17:22:05] Loop alive (iteration 1240). Flag exists: False
[17:22:06] Loop alive (iteration 1760). Flag exists: False
[17:22:06] Loop alive (iteration 2100). Flag exists: False
[17:22:06] Loop alive (iteration 1400). Flag exists: False
[17:22:07] Loop alive (iteration 1260). Flag exists: False
[17:22:08] Loop alive (iteration 1780). Flag exists: False
[17:22:08] Loop alive (iteration 2120). Flag exists: False
[17:22:09] Loop alive (iteration 1420). Flag exists: False
[17:22:09] Loop alive (iteration 1280). Flag exists: False
[17:22:10] Loop alive (iteration 1800). Flag exists: False
[17:22:10] Loop alive (iteration 2140). Flag exists: False
[17:22:11] Loop alive (iteration 1440). Flag exists: False
[17:22:12] Loop alive (iteration 1300). Flag exists: False
[17:22:12] Loop alive (iteration 1820). Flag exists: False
[17:22:13] Loop alive (iteration 2160). Flag exists: False
[17:22:13] Loop alive (iteration 1460). Flag exists: False
[17:22:14] Loop alive (iteration 1320). Flag exists: False
[17:22:14] Loop alive (iteration 1840). Flag exists: False
[17:22:15] Loop alive (iteration 2180). Flag exists: False
[17:22:15] Loop alive (iteration 1480). Flag exists: False
[17:22:16] Loop alive (iteration 1340). Flag exists: False
[17:22:17] Loop alive (iteration 1860). Flag exists: False
[17:22:17] Loop alive (iteration 2200). Flag exists: False
[17:22:18] Loop alive (iteration 1500). Flag exists: False
[17:22:18] Loop alive (iteration 1360). Flag exists: False
[17:22:19] Loop alive (iteration 1880). Flag exists: False
[17:22:19] Loop alive (iteration 2220). Flag exists: False
[17:22:20] Loop alive (iteration 1520). Flag exists: False
[17:22:21] Loop alive (iteration 1380). Flag exists: False
